,name,scores,texts
4260,767015525,4,"I have seen this movie more than once and I am trying to understand the hostility it has generated. I am old enough to have seen the original TV series the first time around and while I remember it fondly, it was definitely a product of its time. What makes this film so enjoyable for me is that it is not merely trying to copy the old series but to reinvent it. Ralph Fiennes and Uma Thurman are John Steed and Emma Peel this time around. No they aren't Patrick Macnee and Diana Rigg nor should they try to be. They have created their own version of the characters and they work quite well together. Their overwritten dialogue is overplayed with just the proper restraint. Sean Connery as Sir August, the principal villian, seems to be underplaying his role until you notice his eyes. Watch the eyes of all the characters. They are an important motif throughout the movie. Jim Broadbent's liquid eyes as ""Mother"" are full of knowledge and sympathy while Fiona Shaw's traitorous ""Father"" is literally blind to everything. Patrick Macnee (the original John Steed) has an important cameo as an invisible man. He holds the key to the mystery but he cannot be seen.

Director Jeremiah Chechik (BENNY AND JOON) has created a modern day fairy tale out of the old series while retaining the droll humor and the surreal touches (the brightly colored teddy bears are a good example). Much of the look of the film resembles the illustrations of modern day children's books especially THE POLAR EXPRESS. My only real complaint with the film is Eddie Izzard's use of the f-word. It is totally out of character with the rest of the film and was added solely to get a PG-13 rating. I was hoping the DVD would include the missing footage cut from the film before its release but no cigar. Sources close to the film say that it would clarify a number of points including the two Mrs Peels. Perhaps we will see it in a future reissue. So for the meantime put away your preconceived baggage and try and take the film on its own terms and you may be pleasantly surprised as I was. After all seeing is believing. Tea anyone?"
4261,767015525,1,"I really, really, really hope that Patrick Macnee, Diana Rigg, Honor Blackman and Linda Thorson didn't see this abortive attempt to recreate the cult British series from the 1960's. Even with the considerable talents of Sean Connery, Uma Thurman and Ralph Finnes, this film is just about unwatchable. Poorly edited, poorly scripted and badly directed, films like this are what make movie goers shudder whenever a studio announces they are bringing a beloved TV series to the big screen. For every adaptation like The Fugitive, there are dozens of bombs like My Favorite Martian, The Mod Squad and this dud.
I am actually one of the few unlucky people to actually see this ""film"" in the theater. I fell asleep. So just to be fair and to have a complete impression of the film, I rented the DVD. I fell asleep twice more before I saw the entire film. It was so bad it made me wish I had fallen asleep a third time.
What makes my dislike of this film so disappointing is that I so wanted to enjoy it. Sean Connery is one of my favorite actors and I was looking forward to seeing him as a villan. Uma Thurman is one of the sexiest women in movies today and I wanted to see her take on Diana Rigg's Mrs. Peel. And Ralph Finnes has been in several of my favorite films, including Schindler's List and Quiz Show. However, they all fall flat in this film (although Thurman looks great in her Mrs. Peel leather outfit).
The film tries to recapture the odd flavor of the series (the Connery board meeting in which all the participants are dressed as teddy bears, for example), but falls flat every time. Finnes is miscast as John Steed (too young) and he and Thurman have none of the chemistry that Diana Rigg and Patrick Macnee had in the original series.
Do yourself a favor. Instead of buying this waste of precious natural resources, buy the DVD set of the Emma Peel episodes of the original series. Then rent the DVD of this film -- you'll quickly see that newer, in this case, is definitely not better."
4262,767015525,1,One of the worst movies ever made. Watching Sean Connery in a bear suit while running around was ugly. The pair (Ralph Fiennes and Uma Thurman) have no chemistry what so ever and talk like their English. Horrible. He fights people with an umbrella and she can't fight at all. Mechanical bees chase their car and it was so exciting! Not! I hated this movie and Sean Connery lost any respect that I had for him. Don't ever drink tea again and eat your muffins somewhere else!
4263,767015525,2,"i give this film two stars because although you have to question why three good actors such as these would even consider this script, they still acted well with the poor amount they got. but still, how could great actors such as these three accept such a terrible script? what were they thinking?"
4264,767015525,4,"Unfortunately, the wonderful episode ""Escape Through Time"" is paired with the clunker ""The See-Through Man,"" but, well, you can't have everything.  They're nicely paired in one regard, which is that they're both faux sci-fi pieces about bad guys playing on the credibility of others with elaborate frauds.  ""See-Through Man"" is too see-through plot to maintain the suspension of disbelief, where ""Escape Through Time"" is far more cleverly done.  ""See-Through"" is largely an intentional comedy, which makes matters worse, since it's painfully unfunny  -  it's idea of humor is a comic-opera Russian idiot, who, ironically enough, is the same Russian idiot used in one of the previous season's equally spectacularly unfunny scripts.  What it does have is Diana Rigg charming her way nicely through the mess that is ""See-Through Man's"" script.
""Escape Through Time"" is by far the better piece, with Steed and Mrs. Peel trying to find out why several of England's most notorious criminals are being found dead of wounds inflicted by archaic weapons.  Seems someone is selling them the perfect escape  -  an escape into the past.  True time travel?  Or an elaborate get-rich-quick scam?  Emma goes through the elaborate plush-toy entry ritual, to find out."
4265,767015525,4,"Okay, this is not the best movie in the world. The same can be said for the TV show because it is a cult classic. Now I do admit that I am to young to understand the better parts of the show, I'm 24. Yet in terms to the movie it was not to bad. The acting could have been better, yet the costums were cool and had that over the top feel that the orginal show had.
Although the toung and cheek humor was a bit lame in the movie and could have been developed a bit more. Uma Thurman did do an okay job playing Mrs. Peel, yet more could have been said about her and personality because she does differ from the TV show. It would have been better of the movie to keep her with the same persona as the orginal Mrs. Peel then add to it to make it more 90's. The same for Ralph Fiennes. He does seem to lose his temper more in the move in contrast to the show. There are plot holes but what movie doesn't have at least one. Most people are right in that some things needed to be explaned better. The editing is really bad in the move.
The Art Department did an amazing job for the look and feel of the move. The same with the FX too simple great. Also with the Visual Effects were stunning. The cinematograph is another thing that saves this film from being a total bomb.
This move seems to wanna reach the post 60's crowd and apeal more to the teens of the 90's. with that in mind this really is not a really bad movie. For the die hard 60's kids this will be painful, but the new generation this is a pretty good flick. Yet for those who don't know about the orginal TV show by the DVD's and watch the true Emma Peel act like no once else can."
4266,767001311,1,"I already own seasons 1 thru 4, so I'm very disappointed not to be able to purchase 5 and 6 separately. The price of the complete set is a bit high when I only need two seasons. Not sure what to do, but I'm hoping the price will go down, or they will also release 5 and 6 at a later date. I do like the Bob Newhart Show, it was always a favorite."
4267,767001311,5,"After recently seeing a Bob Newhart performance at the Wilbur Theater in Boston, in which Bob received two separate standing ovations, I decided to finally buy the complete series box set of ""The Bob Newhart Show.""  Therefore, I have no problems with the earlier releases of the first four seasons of the show.  In addition, although the video quality isn't of high-definition quality, the episodes are eminently watchable.  All problematic issues were soon forgotten after I started watching the show.  Bob Newhart was one of the first successful stand-up comedians to star in a TV sitcom.  That started a trend that continued with Tim Allen, Ray Romano, Jerry Seinfeld, and many others.  In addition, the show was not cancelled by CBS because of poor ratings.  After six successful seasons, Bob decided that is was time to end the series.  The writing on the show perfectly suited Bob's personality and comedic style.  The casting choices were uniformly excellent, especially with Suzanne Pleshette as Bob's wife Emily.  Special mention must be made of Jack Riley as Bob's patient Elliot Carlin, who appeared in 56 of the 142 episodes.  To say that he is an unforgettable character is an understatement.  The box set also includes an informative booklet, which gives a brief synopsis of each episode, along with its original airdate.

What really makes this box set special are the bonus features.  Audio commentary is provided on several episodes.  The bonus disc includes the original, unaired pilot.  In it, Peter Bonerz plays Dr. Jerry Robinson as another psychologist, instead of an orthodontist.  Marcia Wallace does not appear as secretary Carol Kester, nor does Bill Daily appear as nutty navigator and neighbor Howard Borden.  The 19th Anniversary special is also included.  It takes place on the day after Bob had a dream about being a Vermont innkeeper named Dick Loudon.  The most surreal moment of the special is when they show a clip of Bill Daily as Major Roger Healey on the ""I Dream Of Jeannie"" TV series.  The bonus disc also includes ""Group Therapy,"" which was recorded in Los Angeles in December of 2013.  It's a nostalgic discussion of the show with Bob Newhart, Peter Bonerz, Bill Daily, Jack Riley, and director Michael Zinberg.  Sadly, Suzanne Pleshette and Marcia Wallace had both passed away, and are sorely missed in the discussion group.  Bob and Bill do show their age, while Peter has held up well.  Sadly, Jack Riley had a stroke, and is confined to a motorized wheelchair.  This look back to when they were all in their prime is bittersweet, as time has taken its toll on all of the participants.  Fortunately, the TV show's comedy is timeless, and has held up very well over the years."
4268,767001311,5,Who is funnier then the great Bob Newhart. It's about time. Great show with lots of laughs. And the price is right. We have been waiting for years. So Glad someone is finally listening to the consumer again. And now we are finally getting Bob's second long running show NEWHART. It's about time. Can't wait for the mail to arrive.
4269,767001311,5,Awesome to have the complete series available. No idea why the previous issue did not finish the series. I will have to sell that one some day.
4270,767001311,5,Am slowly going through the entire series and realizing Bob Newhart and everyone on the show are so fantastically funny--even after all these years.
4271,767001311,5,1of my favorite shows
4272,767001311,1,The distributor really showed their true colors.  Those who had already bought the first several seasons found that the only way they could purchase the last two seasons of the show was to repurchase the disks they already had as part of this boxed set.  From now on we'll just do without until all the seasons are released.
4273,767001311,5,Who doesn't like Bob Newhart. I love Bob and Emily. Some of these episodes are so darn funny.
4274,767001311,5,Hi guys. Let me just say I am extremely satisfied with this set. The fact is that nobody else is going to release the whole series again. So this is the best you're going to get. And it's not bad at all actually. This is one of my favorite 70's series. No. The quality is not consistent but I found that most of the discs were just fine. Some later season episodes were a little washed out in the color department but these were in the minority. Just to have the entire series finally is a dream come true. I got a brand new set for $60. which I thought was a pretty good deal. I was one of the ones who had purchased the previous sets but am really not upset about purchasing them again. It's been a long time and that money was spent many years ago. You can sell them here or on E-bay if you want to re-coup some of your money. I just gave them to people who I know would appreciate them. So if you're a Bob fan definitely get the set.
4275,767001311,5,This is such a great series. I've been watching it every night since I purchased it. I had the earlier double disc collection which I hated. Gave  them away and thanks so much to Shout Factory I'm enjoying this complete collection of THE BOB NEWHART SHOW. Plus comes with bonus features. No disappointment here.
4276,767015525,1,"from a succesfull TV-Series and with actors like Connery, Thurman and Fiennes, they come out with this??? The Script is bad, but the editing even worse. There's nothing going for this movie, even the acting looked bad, the Director didn't have a clue of what he was doing. Don't watch this movie even if you have time to waste, is just not worth it."
4277,767015525,4,"The World`s Best Agents:John Steel (Ralph Fiennes) and Emma Peel (Uma Thruman) are trying to stop a dangerous man (Oscar-Winner:Sean Connery), who wants to play God by taking control of the World`s Weather.
Directed by Jeremiah S. Chechik (National Lampoon`s Christmas Vacation) has made a campy action adventure film, full of non-stop thrills and comedy. This film features a Embarresment Role from Star:Sean Connery. It was a Huge Box Office Flop but Still, the movie is best enjoy, if you don`t take it seriously. Great Production Design by Staurt Craig. Grade:B+."
4278,767015525,1,"This is a botched abortion which shares nothing more than the title with the superb original 1960's series.  The lack of care and scorn for the original material and the audience is shocking.  The writer, director and producer of this calamity, if they have any honor, should repudiate this disgrace.  Trust me, DON'T WATCH IT!!!"
4279,767015525,1,"First of all I'd like to put this review into perspective, I wanted so much to like this movie. I think Ralph Fiennes is a fine actor and whats more I'm Scottish and as is the custom if you're Scottish, I'm one of Sir Sean Connery's greatest fans. He was the best Bond (although Pierce Brosnan's doing a fine job) and great in movies such as The Hill, The Untouchables (even if the accent was a bit ropey), The Hunt For Red October, The Rock, Outland etc. He is a fine ambassador for his nation and the world's greatest living Scotsman by popular acclaim BUT what were you thinking Sir Sean when you made this pile of poo? Didn't you read the script? Or were you too busy banking the cheque?
This movie stinks. Not because a remake of the sixties TV series was a bad idea because it wasn't. Not because the movie didn't have potential because it did. Not because the series had a cult following and the movie had a ready made audience to tap into. No it stinks because it boasts one of the worst scripts ever, with plot-holes you could drive a car through, poor editing, poor special effects, a really (...) supporting performance from Eddie Izzard and perhaps the worst choreographed and directed action scenes you could ever see. Take a bow Mr Jeremiah Chechick (also director of the fine Benny and Joon and the awful National Lampoons Christmas Vacation). The movie also boasts a fine English accent from Uma Thurman but a truly awful acting display not just from her but an incredibly wooden and uncharismatic performance from Ralph Fiennes.
This movie was so bad that Warner Bros. wouldn't even let the critics see it prior to it's theatrical release but word of mouth soon spread about how bad it was and it sunk like a stone anyway. According to Total Film Magazine the movie was originally two and a half hours long and was hacked down to a mere 89 minutes for its theatrical release after a disastrous test screening, thus making Don MacPherson's screenplay (supposedly based on Shakespeares The Tempest) make even less sense. Voted the second worst blockbuster ever made by readers of the UK's Total Film magazine, this movie didn't help anybody's career but particularly harmed Uma Thurman whose previous outing had been the sequally awful Batman and Robin.
The saddest thing is it could have been good and I really did want to like this."
4280,767015525,2,"The rumor that shuttled around a while is that the original script stayed very close to the TV show. The people who developed the film were huge Avengers fans that spent years trying to bring this to the screen and saw it as an art house action movie. When Warner's realized that they didn't have a big budget summer film for 1998,they rushed production on The Avengers, threw a lot of money at it, and more or less told the producers they wanted a big hit. Needless to say, pandering to the masses and doing good ""Avengers"" are incompatible, which the test audiences more or less told the studio execs during test screenings by not liking it at all and getting confused (though I am hard pressed to see how they were any more confused than I ended up) . Unfortunately, take out the sublime strangeness and the film falls apart and makes little sense. Apparently, the studio thought they could rush this out on name power and no real story and maybe make a little money, which is exactly how much they made.
Regarding the film itself, it is gorgeous to look at but painful to watch. The three leads are badly miscast (You can't replace MacNee and Rigg, though Patrick Stewart and Lucy Lawless would have been MUCH more interesting than Fiennes and Thurman) and Sean Connery chews scenery like he hadn't eaten in months. would love the DVD to have loads of extras I am sure are milling about somewhere, including commentary by the director on what happened.
Stick with the TV Show."
4281,767015525,4,"There seems to be a lot of argument over how good is this film.  Some people love it, some loath it.  Actually, it's somewhere in the middle.  I liked it, and found it entertaining.  There are some movies I lose interest in halfway through.  I didn't lose interest here.  There are some films that are so sappy or preachy I turn them off.  This isn't one of them.  It's a decent film, if you don't take it too seriously.  The film may be a bit disjointed, and not entirely believable at times, but it isn't boring.  Most films are not entirely believable, as far as that goes.  So, as long as you're not expecting too much, and are willing to suspend your disbelief (which most films require - come on, Castaway?)  This can be an enjoyable film."
4282,767015525,4,"This isn't a patch on the original TV series (especially that featuring John Steed teamed with the inimitable Emma Peel), but it does capture enough of the 1960's British campiness of the original Avengers to be entertaining.  Some aspects do annoy - such as Uma Thurman's (much though I like her other work, e.g. in Gattaca) attempt to portray some finer shades of the original Emma Peel's characterisations.  But as a stand-in, she's a tad more convincing than is Ralph Fiennes for Steed.  Overall, treat this in the tongue in cheek spirit in which it was probably meant to be taken, and enjoy..."
4283,767015525,1,"""The Avengers"" may be the most dreadful film ever released by a major studio.  A laughable plotline, an infantile screenpaly, an embarrassing script...this movie has it all. If you did not see it in the theaters, by all means rent it (DON'T buy it, for heaven's sake).  Everyone who enjoys movies needs to see this incredible barker. It makes the second half of ""Barton Fink"" seem like best picture material."
4284,767015525,5,I like it. Everyone here is charming.
4285,767015525,1,"I tried not to set my hopes too high but this was ABSOLUTELY awful, and embarrassing to boot. Thurman is a fine Peel and Fienes is quite OK (although there's  not much found in the way of the strange ambivalence (like? love? mere professionalism?) in the relation between Steed and Mrs. Peel from the series), but Connery does this one straight from the teleprompter. No credibility, no presence, no strength.  Arguably his worst performance to date.
The retro-look is too glib, and a sense of humour sorely lacking. The film tries VERY hard to be surrealistic (with the Baddies dressing up as teddybears and not-quite-but-almost Bond-like gadgets) but everything the desperate producers throw at us is hollow (You can almost hear them pleading with the audience: ""Now THIS is really funny and weird? Isn't it? Isn't it?"").
A pathetic excuse for a film, even when not compared to the original Avengers. Give this one a miss. It's REALLY not worth your time.
Best Avengeresque part: Peel trying to escape DeWinter's castle, running through the same hallway over and over again... Oh, and yes, that IS Patrick Macnee's voice as Invisible Jones!"
4286,767001311,5,BEEN WAITING A LONG TIME FOR BOB NEWHART SEASONS 5 & 6.
4287,767001311,5,"This show is hilarious, they do not do comedy like this anymore."
4288,767001311,5,"I grew up watching this series in its original run in the 1970s.  So glad to have all six seasons together.  Really evokes so many fond memories for me as I re-watch these classic sitcom shows from my youth.  I highly recommend this set for fans of The Bob Newhart Show.  No DVD set is perfect, but the negative reviews are overblown here in my opinion.  This is a fun set and I have no regrets after buying it."
4289,767001311,5,"I couldn't be happier with this series, brought back so many childhood memories."
4290,767001311,5,Classic!
4291,767001311,4,"I won't go into as much detail as many other reviewers have with their experiences.  I'll add to the voices that I'm a little disappointed with the video, however, I remember watching the show in syndication on my local station during the 80s and thinking the same thing.  As someone else commented, this show has always had problems where that's concerned.

However, on the bright side, we finally have every season in a well-packaged box set!  I think Shout Factory deserves a pat on the back for giving it to us after such a long wait.  Please don't let the minor video issues keep you from this set.  If you're a fan of the show, I don't think you'll regret this purchase."
4292,767001311,5,"One of the best shows of all time finally makes it to DVD in complete form along with some extras. I had originally purchased the first four seasons when they were released years ago, but didn't hesitate to get this set and it's definitely worth it. The alternate pilot on the extra DVD was entertaining and the recent interview with Bob, Bill, Peter and Jack was really special."
4293,767001311,5,"I previously bought 1st 4 seasons, but 5 and 6 were not available. Now I have them all. Maybe it's me, but the sound of the theme song seems to be off. No big deal, I bought it for the show, one of my all time favorites!"
4294,767001311,5,"Wonderfully put together box set. Video transfer very crisp, notes are entertaining and informative. If you're a Newhart fan this is a must have!!!"
4295,767001311,3,"They could've done a lot more in the name of consistency among the episodes video quality and color saturation. Some are a little pale, some over saturated, some darker than others. But it's better than nothing. At least it's not abridged like the odd couple discs. I'm still fuming over that"
4296,767015525,1,This version of the Avengers doesn't even come close to doing justice to the original series.  It is an absolute disgrace.  The original series was full of fresh ideas and good writing.  The movie is one of the worst remakes of a TV series that I have ever seen.
4297,767015525,4,"The whimsical spirit of the classic TV series is retained in this unbelievably poorly treated adventure film. The studio hacked away about a half-hour's worth of footage after a bad test screening, meaning some may find the plot hard to follow, but all the stuff you need to know is there if you pay attention. Basically, it's the traditional spy story- our heroes battle a diabolical madman with an elaborate scheme for world domination- overlaid with some of the most imaginative, inventive and downright charming imagery seen in any action film. You've got gun-toting grannies, killer teddy bears, robotic bees, Escheresque mazes and all other kinds of hallucinogenic imagery, as suave superagents John Steed and Emma Peel try to foil Sir August De Wynter's plot to control the world's weather. Throw in a Mrs. Peel clone and a traitor in the agents' midst, and you've got a dreamlike narrative that proceeds to a wonderfully tempestuous climax. Fiennes and Thurman are no Macnee and Rigg, but they've got their own appeal and a nicely tender chemistry. Sean Connery as the bad guy appropriately hams it up, and there's a superb supporting cast. The visuals are wonderful (avoiding the phoniness of some attempted camp-fests like BATMAN AND ROBIN), the characters fun, and the overall effect is quite exhilirating. Highly recommended."
4298,767015525,1,"There are some interesting visuals in this painfully bad mess of a film (in particular a scene where the lead characters step out of giant bubbles, for no apparent reason), but that's all the good that's here. Every other aspect is dreadful. The only way to watch this horrendous flop is to turn the sound down & listen to some music you like. Don't put yourself through the torture of listening to the dialogue."
4299,767015525,1,"I grew up in England, hence I tend to feel more affinity with UK based films in general. However, that doesn't save this film from extreme mediocrity. Even the worst 'Tough LA cop fighting the drug cartel' film has more going for it than this.
This film dissapoints in almost all areas. The plot is far fetched and weak. Half the film is set in the 1960s, the other half in the 1990s, and the two halves do not marry well together. The special effects are mediocre. The film even drags down two excellent performers (Sean Connery, Uma Thurmann)who are given so little latitude that they can do nothing to salvage the situation. Overall, the impression is of a very second rate James Bond type movie, with cliches galore.
I'm sorry Amazon, this review isn't going to sell you many copies of this DVD. The only people who would find this very interesting are young producers finding out how not to make an action movie. For me, I'll open another beer and stick to those LA cops."
4300,767015525,1,"I agree with those who commented that this isn't one of those movies that's so bad you have to laugh at it--it's worse. I do remember moaning ""kill me"" once or twice after about 20 minutes of trying to figure out why this movie was ever made. I also remember the intermission, where I was torn between going to McDonald's before they closed and staying to see if the second half was any better. One minute later I was eating a burger and drinking coffee.

Update: In retrospect, I realize this review is utterly useless to anyone who hasn't seen the movie.  It's been a long time since I saw this movie and I've blocked most of it out, but from what little I do remember, it was more of a fashion show than a story.  To this day I have no idea what the plot was.  I assume people who saw the ""Avengers"" TV show back in the 60s (?) might get some subtle references, but from my vantage point this was an utter waste of some very talented actors."
4301,767015525,5,"John and Emma are back and are here to stay via DVD technology. Being on DVD, the aesthetics about the actual episodes are not in question here. More appropriately one may ask how they look. They look good, very good. If you relish a series like ""The Avengers"" or ""Twilight Zone"" you no doubt know about the content of what you are getting. You are more likely concerned about the quality of what you are getting. Like John might say to Emma, ""You scratch my back I'll scratch your back."" Thank Mother.
Much better than the Sean Connery film by the way!"
4302,767015525,1,"THE AVENGERS is, hands down, one of the worst films that I've ever seen (and I've seen quite a few bad ones). I went to see it in the theatres with modest expectations, and proceeded to enjoy exactly 3 minutes of it (the cool opening titles). After that, I sat in astonished silence watching this obviously grossly expensive piece of trash. The fact that one of history's most dignified actors, Sean Connery, manages to give his single bad performance to date, is only one of the negatives on display here. THE AVENGERS occupies that strange void where it's badness can't even be laughed at. This movie is pure trash, and there are very few movies that I heatedly dislike. If you're reading this review and actually plan on buying this movie, I recommend you save your money. I'll never understand how such talented actors and such a large budget can create such disposable junk. Avoid this movie at all costs. Consider yourself warned."
4303,767015525,3,"This big screen productio based on the tv series took alot of hits from the critics-some of it justisfied. However i found this movie to have some redeeming qualities. First of all you had several high quality actors such as Uma Thurman,Sean Connery and Ralph Fiennes. They seemed to be doing a pretty good job but were asked to work with a pretty weak script. I found the special effects and cinematography to be pretty good also. The character interaction was very weak with very little attention given to the reason that Sean Connerys character for instance had such an infacuation with Mrs Peele-that is just one of many weaknesses i found in this film. As stated by film critics one of the main selling points was a chance for Uma Thurman to have her own fashion show(which in itself is not a bad thing).Others critcize it for being so campish and the constant silly banter going on between Mrs. Peel and John Steed. However, give it some credit for trying to stick to the formula that won the original tv series its loyal following. Anyone that follows those episodes will probably agree that this movie more or less stayed along those lines. Anyway,this is another of those movies that i can't really say why but something keeps me popping it back in the dvd player and watching over and over again."
4304,767015525,1,"Wow.  I thought I was in for a treat when I saw the previews for ""The Avengers.""  At least the previews were entertaining.  The beginning of  the movie started out pretty good, but it was downhill from there.
Can we  say, ""movie turns into a fashion show?""  For crying out loud,  every single time Uma left a scene and came back, she had on a new hot  little number for an outfit.  If I wanted to see a fashion show, I would  have stayed home and turned on my cable.
I absolutely love Ralph  Fiennes and Sean Connery.  Most of what they have done I have found  wonderful.  I was sorely disappointed by Sean Connery's role in this movie.  His lines were stilted, he seemed extremely uncomfortable in what he was  doing, and I started to feel sorry for him midway through the movie.  Was  this supposed to happen?  I don't know.
I do understand that this movie  was supposed to represent the quirkiness of the original TV show, but I  didn't buy it.  Perhaps it was starting to grate on my nerves every time  Uma showed up in a different tight-fitting outfit.
The special effects  were about the only redeeming quality in the entire movie.  The bubbles  they walked in, those big mechanical bees, and the high-flying act at the  end were all pretty dang cool.  I just wanted more out of the characters.  I wanted more out of the plot.  I wanted more out of Sean Connery's  villain.  I wanted more out of the relationship between Uma and Ralph.  Perhaps I wanted too much, but when coming right down to the nitty gritty,  that's usually what the criteria is for making what most people consider a  ""good"" movie."
4305,767001311,5,"Totally understand the people who hoped the last seasons would be released separately; many personal budgets are tight.
But after so long, it really was time for the complete series to be available no matter how it was issued.
This is a funny, well-written show, and I'm ecstatic to have every episode, even with minor edits.
Love ya Bob and Co., and thanks Shout Factory!"
4306,767001311,5,very nice funny to watch. glad to have got the series
4307,767001311,1,"Shout hasn't released Rhoda season 5 so I have no hopes of them doing the right thing and releasing Bob's seasons 5 & 6.
Capitalism. The only way to make them do right is through consequence. By not purchasing their products."
4308,767001311,1,"Just adding another voice to the crowd. I've been gritting my teeth for eight years (well, a little less since it took a little time to realize that Fox was screwing us over) over not getting the rest of the series. I've always liked Shout! Factory; I've considered them the Rhino for the new millennium in terms of putting out product that really delivers for fans. But this is just unacceptable. Another reviewer mentioned that he'd spoken to Shout about it and that they plan to release seasons 5 and 6 individually. But a) it may not happen, and 2) it's still not cool making us wait. How on earth do you justify a release like this? Where's the logic? Did NO ONE at Shout look at the countless reviews (and IMDB message boards, for that matter) decrying the absence of the last two seasons? I don't have the market research numbers, of course, but I imagine that a significant percentage of potential buyers for this were in my situation. The ratings and reviews here certainly bear it out. I very much want the last two seasons of ""The Bob Newhart Show,"" but I'm not about to pay this much to get four seasons I already own and, more importantly, support this misstep. Shout and other studios, take notice: if we don't refuse to buy it, how will you learn?"
4309,767001311,5,"Brilliant comic.  Zany, talented cast."
4310,767001311,5,"To get close captioning you need to have your TV set to close caption and then use RCA cables. Component cables may work, I don't know. Hdmi does not work for close captioning on these discs."
4311,767001311,5,"If you are a Bob Newhart fan you will love this! I know most of us didn't get to view each episode of the series, ... so here is your chance! Great set and the price was right!"
4312,767001311,5,"Finally all 6 seasons.  Great quality discs, packaging, video, audio and of course, an awesome series.  Kudos as always to Shout Factory.  One thing though.  Did anyone else notice the big misprint in the included book and the DVD menus where they show the doctor's office as 751, but in the show it is 715?  Hmmmmm"
4313,767001311,5,"Have been waiting for someone to publish the complete series.  We have loved watching the reruns, but now we can ""binge"" to our hearts content."
4314,767001311,5,"I've waited a long time for this collection to be available and it does not disappoint!  Of the 3 TV series that Newhart did over the years, this original is the best.  As a former Chicagoan, I love seeing the city backdrop and I think the show holds up pretty well over time.  Now, all that's left is for the second series (set in Vermont) to be available as a complete series from a professional source.  I have it from an amateur source and the episodes are spotty as to quality, some even being unintelligible.  Anyway, this series is fantastic.  I haven't looked at the 'extras' DVD yet, but I'm expecting good things!"
4315,767015525,1,"Hoping the re-make would get the spirit of the old series I bought this DVD ... and would like to warn everybody to repeat that mistake. Jokes are  forced, dialogues are flat, there is no suspense and the respective  superiors (""Father"" and ""Mother"") are just ridiculised.  Boring. A nuisance. Stay away from it !"
4316,767015525,5,"I loved this silly little movie. The people who didn't most likly didn't watch or didn't like the T.V. show. Come on people this movie was supposed to be silly, I'm not sure if the T.V. show was or not (but it was anyway).  Don't get me wrong I loved the show just a well and at times better than  this movie. I did think the ""Mother""/""Father"" stuff  went a bit far, even that wasn't that bad. It was nice to see (or rather  not see) Patrick Macnee (the orignal John Steed) as an invisible man. Where  was Diana Rigg. I would highly recommend this silly little movie to anyone.
ENJOY!"
4317,767015525,4,"Dry, arch...this could be Monument Valley, but tis an apt description of an underrated film. The original John Steed has been described as a man NSIT (Not Safe In Taxis)and the latest incarnation, the talented Mr Ralph  Fiennes, is equally seductive(check out the leather boot scene, mmmm...).  The killer bees, suprising nuns and decapitated teddy bears are in the  spirit of the original show, as is the fencing in the gentleman's  outfitters.  Only mistake, and huge mistake at that, was at the end,  allowing Steed and Peel to... Innuendo abounding, subtle and witty  thoughout, so why? tell me why was THAT necessary? Smacks of pandering to  the lowest common denom'. I can only hope a ""Director's Cut"" will  be issued; in the words of Steed, '...hurry back'."
4318,767015525,3,"Though an ultimate disappointment to AVENGERS fans, and especially to viewers being first introduced to the AVENGERS mythos, the film at least takes a while to show its bad side.  The opening 45 minutes is  smashing-which is perhaps why the ending is so frustrating.
The main  reason for this let-down is not the ridiculousness of the plot. MISSION  IMPOSSIBLE, most Bond films, and even JURASSIC PARK have all had commercial  success with plots that weren't much better than this.  Rather, the failure  of this film comes in my mind from Sean Connery.  If this were the only  example of his acting one had ever seen, one would have difficulty seeing  how the man ever won an Oscar (R).  His performance is truly abysmal.  Yes,  the situations he's placed in and the lines themselves have a certain  hollowness to them, but all meglomaniacs in all action films are, well,  silly.  Though I do think one or two scenes exploring a bit more of de  Wynter's character might've been in order, films have been more satisfying  with less-scripted villains.  The glaring difficulty is that Connery  obviously doesn't *believe* in his character.  It's absolutely obvious that  he's not having fun-even with the good lines.  As a result, we don't  either.
By contrast, Fiennes and Thurman are having the time of their  lives, playing roles that seem to have been tailor-made for them, despite  having originated with other actors.  There are really no scenes which  their presence doesn't immediately help, and one can't help but feel that  if the movie had simply had a different actor cast as the villain, their  chemistry would've gone better appreciated by the viewing public.
(DVD  notes: There are really no additional features on the DVD, which is  surprising.  The production team were all huge fans of the TV show and  spent years trying to bring this puppy to screen.  One would've thought  they'd have been absolutely passionate about trying to explain what had  been a big part of their lives for years.)"
4319,767015525,3,"--and that's why it gets three stars. Part of the fun of this film is filling in the blanks where, if the trailer is to be trusted, there may have been explanatory scenes. (Speaking of the trailer, my dvd has only  one, despite the ""Six Theatrical Trailers"" advertised on the  packaging.) E.g., Good Emma and Bad Emma are obviously ""enhanced""  clones created by de Wynter, whose wife was the template--her huge portrait  hangs in his mansion. (This is not to claim that I've untangled all of the  film's apparent flaws.) I also enjoyed the pervasive umbrella imagery,  'cause brollies are neat.
And I've never seen the original tv series, but  I gather that many of the elements in the film harken back to particular  episodes."
